,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon,geometry,index_right,objectid,LSOA Code,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
10,Drakefield Road,2400000,House,3392,6,6,6,,London,SW17 8RR,51.4347115,-0.1538069,POINT (528427.7836339836 172251.0573303138),4378,4379,E01004489,Wandsworth 030D,Wandsworth 030D,181827.330579,2462.769235,1.0116959064327486,1.013157894736842,1.010233918128655,1.0007309941520468,0.0,1.0095029239766082,1.0051169590643274,1.010233918128655,1.0248538011695907,1.030701754385965
11,Cromwell Avenue,2500000,House,2974,6,6,6,Highgate,London,N6 5HQ,51.5702659,-0.141769,POINT (528881.790340637 187346.3388295654),1961,1962,E01002009,Haringey 035D,Haringey 035D,233525.37183,3529.613567,1.0099206349206349,1.0191798941798942,1.0026455026455026,1.0013227513227514,1.0006613756613756,1.0132275132275133,1.0046296296296295,1.0251322751322751,1.0205026455026456,1.0244708994708995
12,Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER,51.3821635,-0.4212792,POINT (509962.4439950287 165972.9047718222),6387,29579,E01030360,Elmbridge 007D,Elmbridge 007D,815554.122014,6198.073511,,,,,,,,,,
13,Grove End House,725000,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP,51.5279538,-0.1748781,POINT (526704.7366443796 182583.2443704552),4607,4608,E01004728,Westminster 003D,Westminster 003D,75295.850541,1739.379655,1.002962962962963,1.0074074074074073,1.0079012345679013,1.0004938271604937,1.0004938271604937,1.0034567901234568,1.0,1.008395061728395,1.0079012345679013,1.0217283950617284
14,Abercorn Mansions,750000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY,51.5326505,-0.1808324,POINT (526278.7342246724 183095.2534236031),4536,4537,E01004650,Westminster 002C,Westminster 002C,176549.605576,2663.462558,1.003469812630118,1.0062456627342125,1.003469812630118,1.0006939625260236,1.0006939625260236,1.0027758501040944,1.0027758501040944,1.008674531575295,1.0124913254684247,1.0093684941013186
15,Chester Terrace,12500000,House,4596,6,6,6,Regents Park,London,NW1 4ND,51.5290806,-0.1452345,POINT (528757.7664901337 182760.2555848704),928,929,E01000946,Camden 021B,Camden 021B,482823.039877,5601.288381,1.013253527148354,1.0175288584865327,1.009833262077811,1.0012825994014536,1.0,1.0115433946130825,1.0106883283454469,1.0863616930312099,1.0089781958101753,1.039760581445062
16,Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF,51.4535187,-0.3122096,POINT (517369.570199551 174076.9743402117),3808,3809,E01003894,Richmond upon Thames 009C,Richmond upon Thames 009C,167398.394105,2971.349366,1.0052204176334107,1.0081206496519721,1.0029002320185614,1.0005800464037122,0.0,1.0069605568445477,1.0,1.0069605568445477,1.0110208816705337,1.017401392111369
17,Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW,51.2999583,-0.1684132,POINT (527786.8238140978 157240.805696173),6577,29785,E01030567,Reigate and Banstead 004C,Reigate and Banstead 004C,8520403.650658,17600.579567,,,,,,,,,,
18,Elsworthy Rise,2275000,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS,51.5413854,-0.1637122,POINT (527441.7628604148 184096.275818273),949,950,E01000967,Camden 017D,Camden 017D,373646.119304,3291.90154,1.0052910052910053,1.0042328042328041,1.0026455026455026,1.0005291005291006,0.0,1.0058201058201057,1.0105820105820107,1.0174603174603174,1.0142857142857142,1.0185185185185186
19,St. Anns Road,1075000,Duplex,865,2,2,2,,Holland Park,W11 4SR,51.50822489999999,-0.2152673,POINT (523956.6636965052 180320.1873467637),2808,2809,E01002873,Kensington and Chelsea 007C,Kensington and Chelsea 007C,129735.0685,1814.700228,1.007137192704203,1.0103092783505154,1.0126883425852498,1.0023790642347343,1.000793021411578,1.0126883425852498,1.0039651070578905,1.0182394924662965,1.028548770816812,1.028548770816812
20,Clapham Road,500000,Flat / Apartment,597,1,1,1,,London,SW9 9BT,51.4665646,-0.1283341,POINT (530107.7784256078 175838.1240790092),3023,3024,E01003090,Lambeth 012D,Lambeth 012D,138448.211043,2462.159998,1.0081896551724139,1.0198275862068966,1.0275862068965518,1.0025862068965516,1.0038793103448276,1.014655172413793,1.0060344827586207,1.048706896551724,1.0116379310344827,1.0512931034482758
21,Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA,51.5212809,-0.1473246,POINT (528634.7533658389 181889.2247601812),4592,4593,E01004713,Westminster 011A,Westminster 011A,178754.884894,2960.389725,1.0050933786078098,1.015704584040747,1.0021222410865875,1.0016977928692699,0.0,1.0076400679117148,1.0055178268251272,1.0764006791171477,1.034804753820034,1.0301358234295417
22,The Draycott,8950000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA,51.4917035,-0.1627283,POINT (527648.6968490591 178573.159432472),2796,2797,E01002861,Kensington and Chelsea 014D,Kensington and Chelsea 014D,87226.55367,1690.388866,1.0079491255961843,1.0182829888712241,1.007154213036566,1.0007949125596185,1.0007949125596185,1.0135135135135136,1.0087440381558028,1.0699523052464228,1.032591414944356,1.0445151033386328
23,Campden Hill Gardens,1175000,Flat / Apartment,765,2,2,2,,London,W8 7AX,51.5074988,-0.1995308,POINT (525050.6791306535 180266.1881122335),2763,2764,E01002828,Kensington and Chelsea 008E,Kensington and Chelsea 008E,97135.937489,1404.838798,1.009325681492109,1.0208034433285509,1.007173601147776,0.0,1.0007173601147776,1.0086083213773314,1.002152080344333,1.0408895265423241,1.0164992826398853,1.024390243902439
24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT,51.541815,-0.105332,POINT (531488.8188776261 184247.2827653677),2727,2728,E01002792,Islington 017E,Islington 017E,105815.419468,1834.659352,1.0075825156110616,1.0142729705619982,1.0062444246208742,1.0008920606601248,1.0026761819803747,1.0115967885816235,1.004906333630687,1.0691347011596788,1.019179304192685,1.037020517395183
25,St Mary's Grove,1300000,House,1101,3,3,3, Islington,London,N1 2NT,51.5453379,-0.0979743,POINT (531988.8350324691 184652.2819248808),2657,2658,E01002719,Islington 016B,Islington 016B,148976.034569,1991.775912,1.0087616822429906,1.0315420560747663,1.0081775700934579,0.0,1.001752336448598,1.0075934579439252,1.0105140186915889,1.0636682242990654,1.0233644859813085,1.0227803738317758
26,Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR,51.541808,-0.1833513,POINT (526078.7431598994 184109.2697355956),948,949,E01000966,Camden 016D,Camden 016D,129248.597475,2098.025338,1.0031982942430704,1.0053304904051172,1.0005330490405118,0.0,0.0,1.0031982942430704,1.0005330490405118,1.0085287846481876,1.023454157782516,1.0079957356076759
27,Upper Park Road,3500000,House,2331,4,4,4,Belsize Park,London,NW3 2UP,51.5492899,-0.1608408,POINT (527618.7766547473 184980.2939866048),874,875,E01000892,Camden 006D,Camden 006D,121558.799695,1866.126768,1.0062266500622665,1.0149439601494397,1.0091324200913243,1.0008302200083021,1.0004151100041512,1.0049813200498132,1.0024906600249066,1.0145288501452885,1.0261519302615194,1.0236612702366128
28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN,51.3764704,-0.3552103,POINT (514574.2197340621 165440.8676738875),6337,29529,E01030310,Elmbridge 013D,Elmbridge 013D,1859436.494087,7210.775196,,,,,,,,,,
29,Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW,51.3886884,-0.3063748000000001,POINT (517941.5805954529 166876.9209106584),2927,2928,E01002993,Kingston upon Thames 013C,Kingston upon Thames 013C,166329.646061,1868.921376,1.003627569528416,1.0072551390568318,1.0030229746070134,0.0,0.0,1.0006045949214026,1.0006045949214026,1.0042321644498187,1.0060459492140266,1.0187424425634826
30,Wetherby House,1100000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP,51.4923602,-0.1841086,POINT (526162.6759562877 178609.1542110616),2771,2772,E01002836,Kensington and Chelsea 016D,Kensington and Chelsea 016D,73763.243362,1103.555854,1.0047814207650274,1.0204918032786885,1.0061475409836065,1.0020491803278688,1.0013661202185793,1.0040983606557377,1.0027322404371584,1.023224043715847,1.034153005464481,1.0368852459016393
31,Fernside Road,1200000,House,1494,4,4,4,,London,SW12 8LJ,51.4460199,-0.1598125,POINT (527978.7706452366 173498.0804810132),4431,4432,E01004542,Wandsworth 021D,Wandsworth 021D,130968.489572,1816.404665,1.0042944785276073,1.0061349693251533,1.0030674846625767,1.001840490797546,0.0,1.0006134969325153,1.0104294478527607,1.012883435582822,1.01840490797546,1.01840490797546
32,Telford Avenue,1250000,House,1507,4,4,4,,London,SW2 4XF,51.4419202,-0.1297588,POINT (530078.8013239598 173095.0759888421),3063,3064,E01003131,Lambeth 026B,Lambeth 026B,183737.408126,1815.221294,1.011671335200747,1.0196078431372548,1.0084033613445378,1.0023342670401494,1.0018674136321195,1.0107376283846872,1.004201680672269,1.0275443510737627,1.0140056022408963,1.0382819794584501
33,Telford Avenue,695000,Flat / Apartment,945,3,3,3,,London,SW2 4XQ,51.4414516,-0.1342099,POINT (529770.8003689802 173035.0786663874),3070,3071,E01003138,Lambeth 026D,Lambeth 026D,135464.837327,2246.521506,1.0028901734104045,1.0190751445086705,1.0028901734104045,1.001156069364162,0.0,1.0023121387283238,1.0017341040462429,1.0098265895953757,1.022543352601156,1.0086705202312138
34,Stile Hall Gardens,1735000,House,2118,4,4,4,Chiswick,London,W4 3BS,51.4894567,-0.284552,POINT (519197.5609073815 178118.097448774),2523,2524,E01002580,Hounslow 008C,Hounslow 008C,114869.103281,1631.191913,1.0111888111888112,1.0153846153846153,1.004895104895105,1.0027972027972027,1.0013986013986014,1.0118881118881118,1.0,1.0132867132867134,1.023076923076923,1.0335664335664336
35,Wavendon Avenue,2350000,House,2297,5,5,5,Chiswick,London,W4 4NR,51.4892811,-0.264666,POINT (520578.5845016371 178131.105751576),2629,2630,E01002690,Hounslow 007F,Hounslow 007F,183794.635111,2069.06153,1.005540166204986,1.0138504155124655,1.004847645429363,1.0020775623268698,0.0,1.0069252077562327,1.0013850415512466,1.0166204986149585,1.0332409972299168,1.0394736842105263
36,Duke Road,1200000,House,1351,4,4,4,Chiswick,London,W4 2BA,51.4915139,-0.259381,POINT (520939.5864451247 178388.114145475),2632,2633,E01002693,Hounslow 029D,Hounslow 029D,206753.079735,3041.836086,1.0082553659878921,1.0181618051733627,1.007705008255366,1.0022014309301046,1.000550357732526,1.0242157402311503,1.012107870115575,1.0990643918547056,1.0401761144744084,1.0478811227297744
37,Hobury Street,975000,Flat / Apartment,749,2,2,2,,London,SW10 0JB,51.4832974,-0.1795861,POINT (526501.6813644139 177609.1335330828),2846,2847,E01002911,Kensington and Chelsea 019D,Kensington and Chelsea 019D,121685.912932,2472.099068,1.0097421203438395,1.0154727793696274,1.0045845272206304,0.0,1.0011461318051575,1.0154727793696274,1.005730659025788,1.056160458452722,1.0687679083094557,1.0361031518624642
38,Maltings Close,850000,House,1177,3,3,3,Barnes,London,SW13 0NL,51.4726422,-0.2523811,POINT (521475.6138816049 176301.069348071),3768,3769,E01003854,Richmond upon Thames 003C,Richmond upon Thames 003C,143579.06108,2161.017993,1.0149558123725357,1.0183548606390211,1.0013596193065941,1.0006798096532972,1.0006798096532972,1.016995241332427,1.0061182868796736,1.0550645819170632,1.036709721278042,1.025152957171992
39,Munster Road,1599950,House,1884,4,4,4,Fulham,London,SW6 5RF,51.4752655,-0.2086917,POINT (524502.6599977193 176666.1086396728),1860,1861,E01001907,Hammersmith and Fulham 022D,Hammersmith and Fulham 022D,67415.413941,1307.690827,1.006530612244898,1.0146938775510204,0.0,1.0008163265306123,0.0,1.0040816326530613,1.0008163265306123,1.0204081632653061,1.0179591836734694,1.0212244897959184
40,Khyber Road,925000,Flat / Apartment,1321,2,2,2,,London,SW11 2PZ,51.4692188,-0.1700097,POINT (527205.7205335801 176060.1201013282),4423,4424,E01004534,Wandsworth 008A,Wandsworth 008A,257220.957706,3116.888266,1.0090473656200107,1.0212879191059074,1.0122405534858967,1.0026609898882384,1.0010643959552954,1.013304949441192,1.008515167642363,1.028738690792975,1.014901543374135,1.042043640234167
41,Coles Court,650000,Flat / Apartment,869,3,3,3,,Battersea,SW11 3DU,51.47318989999999,-0.1726588,POINT (527010.7109918739 176497.1254663804),4467,4468,E01004580,Wandsworth 004C,Wandsworth 004C,108650.68674,1479.546976,1.011748120300752,1.0140977443609023,1.012218045112782,1.0046992481203008,1.0014097744360901,1.0103383458646618,1.0028195488721805,1.0258458646616542,1.0155075187969924,1.0286654135338347
42,Prince Of Wales Mansions,550000,Flat / Apartment,670,1,1,1,,London,SW11 4BG,51.4754239,-0.1571424,POINT (528082.0345734711 176772.5589490186),4449,4450,E01004560,Wandsworth 001A,Wandsworth 001A,695555.131704,5079.876441,1.0059687786960514,1.0091827364554637,1.0142332415059687,1.0013774104683195,1.0,1.0128558310376492,1.0188246097337006,1.0459136822773187,1.0431588613406795,1.044077134986226
43,Old Battersea House,9975000,House,10100,10,10,10, Battersea,London,SW11 3LD,51.4743145,-0.1761563,POINT (526764.7029742681 176616.1293078405),4468,4469,E01004581,Wandsworth 004D,Wandsworth 004D,111213.555673,2197.868411,1.0042485395645246,1.0100902814657462,1.0047796070100903,1.0015932023366967,0.0,1.0069038767923526,1.005310674455656,1.0169941582580988,1.0169941582580988,1.0201805629314924
44,Kersley Street,1850000,House,1910,5,5,5,,London,SW11 4PT,51.4727949,-0.1640637,POINT (527608.7211934925 176468.1311862786),4429,4430,E01004540,Wandsworth 003B,Wandsworth 003B,138929.778275,2052.488778,1.015130023640662,1.0127659574468084,1.0127659574468084,1.001418439716312,1.0023640661938533,1.011820330969267,1.0052009456264774,1.0321513002364067,1.0156028368794325,1.0539007092198582
45,Battersea Bridge Road,525000,New development,590,1,1,1,,London,SW11 3AU,51.478204,-0.1695351,POINT (527213.7055244009 177060.1290012785),4470,4471,E01004583,Wandsworth 001D,Wandsworth 001D,150511.394646,2352.289151,1.0075187969924813,1.0165413533834586,1.006015037593985,1.0010025062656642,1.0005012531328321,1.0100250626566416,1.0045112781954888,1.0516290726817044,1.0160401002506265,1.0325814536340852
46,Larkhall Rise,2200000,House,2239,4,4,4,,London,SW4 6HS,51.468036,-0.1371575,POINT (529490.7662612462 175986.1212969809),2969,2970,E01003036,Lambeth 012C,Lambeth 012C,113683.349381,2396.564783,1.0097150259067358,1.01360103626943,1.0077720207253886,1.0006476683937824,1.0019430051813472,1.005181347150259,1.0038860103626943,1.0129533678756477,1.0187823834196892,1.0401554404145077
47,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU,51.37929099999999,-0.4223264,POINT (509896.4444634189 165651.8998331346),6387,29579,E01030360,Elmbridge 007D,Elmbridge 007D,815554.122014,6198.073511,,,,,,,,,,
48,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ,51.4948622,-0.1400551,POINT (529213.7296452131 178964.1636187969),4627,4628,E01004748,Westminster 020E,Westminster 020E,88226.084157,1244.324505,1.013594344752583,1.0070690592713432,1.0168569874932027,1.0010875475802066,1.0021750951604134,1.0353452963567156,1.008700380641653,1.0576400217509516,1.0070690592713432,1.0543773790103317
49,Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF,51.5378894,-0.04859289999999999,POINT (535434.8907975674 183914.1742430883),1796,1797,E01001843,Hackney 023E,Hackney 023E,73730.751364,1440.334118,1.0037593984962405,1.0105263157894737,1.006015037593985,0.0,1.000751879699248,1.0082706766917293,1.0015037593984963,1.0082706766917293,1.0142857142857142,1.0481203007518798
50,Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD,51.5279848,-0.1739831,POINT (526766.7317338758 182588.240628069),4607,4608,E01004728,Westminster 003D,Westminster 003D,75295.850541,1739.379655,1.002962962962963,1.0074074074074073,1.0079012345679013,1.0004938271604937,1.0004938271604937,1.0034567901234568,1.0,1.008395061728395,1.0079012345679013,1.0217283950617284
51,Eaton Square,5250000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF,51.4957651,-0.1505209,POINT (528484.7152060713 179046.1625773286),4567,4568,E01004687,Westminster 019A,Westminster 019A,184030.679182,3390.824838,1.0036861506055819,1.0100052659294365,1.0021063717746181,1.0005265929436546,1.0005265929436546,1.0042127435492365,1.0026329647182728,1.0231700895208005,1.0168509741969458,1.0231700895208005
52,Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ,51.5788297,-0.1222021,POINT (530213.3127012843 188333.3109659291),1940,1941,E01001988,Haringey 034B,Haringey 034B,174690.288237,2835.191448,1.003058103975535,1.0189602446483181,1.001834862385321,1.000611620795107,1.001223241590214,1.0042813455657493,1.001223241590214,1.0122324159021407,1.0226299694189602,1.0146788990825688
53,"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS,51.5558913,-0.0577192,POINT (534748.8420875209 185899.1979057144),7142,32789,E01033713,Hackney 010G,Hackney 010G,261460.548645,2492.08099,1.008649367930805,1.0232867598137059,1.0166333998669328,1.0013306719893547,1.0033266799733866,1.0133067198935461,1.0186294078509648,1.0439121756487026,1.0259481037924152,1.0525615435795077
54,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,51.4804912,-0.1871004,POINT (525987.6727369303 177284.127755315),2848,2849,E01002913,Kensington and Chelsea 021E,Kensington and Chelsea 021E,108580.071051,2309.081351,1.0053547523427042,1.0089245872378403,1.0049085229808121,1.001338688085676,1.000446229361892,1.0093708165997322,1.001338688085676,1.0151717983043285,1.0151717983043285,1.0459616242748773
55,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,51.4757671,-0.1655141,POINT (527499.7130398122 176796.1253848667),4465,4466,E01004577,Wandsworth 003C,Wandsworth 003C,115401.339759,1685.084574,1.00730282375852,1.00730282375852,1.0038948393378773,0.0,0.0,1.004381694255112,1.0009737098344693,1.0185004868549172,1.0233690360272638,1.0194741966893865
56,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,51.4730393,-0.2404433,POINT (522303.6219240262 176365.0823296874),3714,3715,E01003799,Richmond upon Thames 001C,Richmond upon Thames 001C,834729.231991,4693.951499,1.003621001810501,1.0175015087507544,1.0024140012070006,1.0006035003017502,0.0,1.0048280024140013,1.0030175015087508,1.0193120096560049,1.0337960168980085,1.0132770066385033
57,Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,51.4755103,-0.1801983,POINT (526480.6975781765 176742.1226953433),1891,1892,E01001939,Hammersmith and Fulham 023C,Hammersmith and Fulham 023C,322857.70708,4184.98595,1.0036556995679629,1.0146227982718512,1.0083084081090063,1.0023263542705219,1.0009970089730809,1.0083084081090063,1.0016616816218014,1.0186108341641742,1.0083084081090063,1.0398803589232304
58,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,51.5119816,-0.1933875,POINT (525464.6922197775 180775.2002827129),4573,4574,E01004693,Westminster 017B,Westminster 017B,82354.97229,1523.220265,1.006597031335899,1.0159428257284222,1.0104452996151732,1.000549752611325,1.000549752611325,1.0043980208905992,1.0043980208905992,1.0153930731170973,1.0351841671247939,1.0159428257284222
59,Harbut Road,735000,Flat / Apartment,969,2,2,2,,London,SW11 2RE,51.4624778,-0.1771606,POINT (526727.7233123467 175298.1108025582),4404,4405,E01004515,Wandsworth 012D,Wandsworth 012D,105682.378045,2081.560629,1.0131054131054131,1.0125356125356126,1.0068376068376068,1.0017094017094017,1.0011396011396012,1.0068376068376068,1.003988603988604,1.0227920227920229,1.010826210826211,1.055840455840456
60,Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,51.4290825,-0.1618596,POINT (527883.7774462852 171611.0242919768),4422,4423,E01004533,Wandsworth 033B,Wandsworth 033B,89185.017583,2433.429208,1.0121028744326777,1.002269288956127,1.0045385779122542,1.0007564296520424,1.0007564296520424,1.0151285930408471,1.0007564296520424,1.01285930408472,1.0136157337367624,1.033282904689864
61,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD,51.42893960000001,-0.1334536,POINT (529858.8083839691 171645.0548394018),3051,3052,E01003119,Lambeth 032C,Lambeth 032C,169819.746445,2119.660343,1.0096280087527352,1.0109409190371992,1.0061269146608316,1.0013129102844638,1.000437636761488,1.0052516411378556,1.0017505470459518,1.0157549234135668,1.013566739606127,1.0336980306345733
62,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG,51.5053755,-0.2343707,POINT (522638.6306667692 179971.1670519286),1815,1816,E01001862,Hammersmith and Fulham 005A,Hammersmith and Fulham 005A,90898.365027,1705.832241,1.0182697474476088,1.0069854916711445,1.0118216012896293,1.00107469102633,1.000537345513165,1.0134336378291242,1.0053734551316496,1.0274046211714132,1.0214938205265987,1.0494357872111768
63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL,51.633804,-0.4156925,POINT (509745.5102666355 193965.5289031666),5906,23216,E01023845,Three Rivers 008C,Three Rivers 008C,1666893.510927,7958.308898,,,,,,,,,,
64,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF,51.6108963,-0.4120855,POINT (510050.4868717245 191423.4007378276),2430,2431,E01002482,Hillingdon 001E,Hillingdon 001E,635051.209048,3691.925694,1.0018621973929236,1.004965859714463,1.000620732464308,1.000620732464308,0.0,1.0024829298572315,1.0012414649286159,1.0024829298572315,1.016139044072005,1.010552451893234
65,St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ,51.5269194,-0.0357122,POINT (536360.895656433 182718.1890424668),4129,4130,E01004232,Tower Hamlets 003C,Tower Hamlets 003C,190211.796137,2147.527521,1.0067885117493474,1.014621409921671,1.0308093994778067,1.006266318537859,1.0015665796344648,1.008355091383812,1.0078328981723237,1.0684073107049608,1.022976501305483,1.0454308093994777
66,Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG,51.5281497,-0.1449408,POINT (528780.7628253998 182657.2522162278),928,929,E01000946,Camden 021B,Camden 021B,482823.039877,5601.288381,1.013253527148354,1.0175288584865327,1.009833262077811,1.0012825994014536,1.0,1.0115433946130825,1.0106883283454469,1.0863616930312099,1.0089781958101753,1.039760581445062
67,Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX,51.5546073,-0.142739,POINT (528858.7911112001 185603.3231795332),910,911,E01000928,Camden 003E,Camden 003E,255240.958519,3640.890519,1.0132513014671083,1.0104117368670138,1.0146710837671558,1.0004732607666824,1.0014197823000472,1.0222432560340748,1.0108849976336962,1.06010411736867,1.0184571699006153,1.053478466635116
